id_produto,nome_produto,categoria_produto,preco_base_produto
124,Corrente Delta Axis,ancoragem,3769.93
125,Cabo de Nylon Danforth Kinetic,ancoragem,3402.07
126,Corrente Danforth Hydro,ancoragem,2677.06
127,Cabo de Nylon Delta Velocity Core Mako,ancoragem,1549.35
128,Boia de Arqueamento Bruce Marlin Hydra,ancoragem,4650.72
129,Corrente Delta Boost,ancoragem,3266.21
130,Boia de Arqueamento Delta Zen Boost Vortex,ancoragem,4144.09
131,Boia de Arqueamento Danforth Core Vortex,ancoragem,963.59
132,Corrente Bruce Nautic Evo,ancoragem,1562.97
133,Âncora Bruce Core Pulse,ancoragem,1892.72
134,Âncora Delta Storm Vox,ancoragem,4717.61
135,Cabo de Nylon Danforth Titan Poseidon,ancoragem,1644.51
136,Cabo de Nylon Bruce Flux Hydro,ancoragem,1973.5
137,Âncora Danforth Impulse,ancoragem,3385.47
138,Boia de Arqueamento Delta Peak Boost Thrust,ancoragem,4183.05
139,Boia de Arqueamento Danforth Torque,ancoragem,1424.88
140,Boia de Arqueamento Bruce Dash Titan Pulse,ancoragem,3134.58
141,Boia de Arqueamento Bruce Nexus Abyss,ancoragem,4781.8
142,Âncora Danforth Vector Evo,ancoragem,826.41
143,Âncora Delta Hydra Kraken Velocity,ancoragem,4436.43
144,Boia de Arqueamento Bruce Barracuda,ancoragem,2214.14
146,Corrente Delta Vox Ion,ancoragem,495.98
147,Corrente Danforth Force Leviathan Impulse,ancoragem,3030.08
148,Âncora Delta Force Barracuda Mako,ancoragem,4785.56
149,Cabo de Nylon Bruce Core,ancoragem,1163.62
150,Cabo de Nylon Danforth Magnum Vox,ancoragem,1645.66
